fid,id,left,top,right,bottom,row_index,col_index,tree_height_mean,tree_height_min,tree_height_max,biketrail_distance_mean,biketrail_distance_max,carroad_mean,carroad_max,horse_mean,horse_max,hiking_distance_mean,hiking_distance_max
"8778","30492",320533.2125,5615291.8086,320633.2125,5615191.8086,"32","143",22.3364840332031,0,34.3200073242188,1838.70767149658,1895.02770996094,1496.90815344238,1566.0029296875,290.4510834198,355.088714599609,105.997690057373,151.003311157227
"8779","30493",320533.2125,5615191.8086,320633.2125,5615091.8086,"33","143",19.6817498504639,0,36.6699829101562,1937.71666916504,1993.72265625,1417.98817434082,1487.33483886719,383.647491934204,446.229766845703,75.2025824663639,143.178207397461
"8780","30494",320533.2125,5615091.8086,320633.2125,5614991.8086,"34","143",18.53754296875,0,28.1700134277344,2032.06621442871,2092.54150390625,1341.78678334961,1411.36987304688,478.396260192871,540.482177734375,28.1936615182757,86.377082824707
"8781","30495",320533.2125,5614991.8086,320633.2125,5614891.8086,"35","143",17.8427500061035,0,26.3099975585938,2025.57734674072,2093.5302734375,1268.86703566895,1338.56823730469,573.16559125061,636.246032714844,27.3305194061995,77.6208724975586
"8782","30496",320533.2125,5614891.8086,320633.2125,5614791.8086,"36","143",15.5974299346924,0,24.1099853515625,1972.27376168213,2040.05517578125,1199.6931263916,1269.26635742188,600.898183569336,657.078369140625,51.1929818243265,102.591423034668
"8783","30497",320533.2125,5614791.8086,320633.2125,5614691.8086,"37","143",20.9752129241943,0,28.1600036621094,1922.69701275635,1989.67956542969,1135.04456474609,1204.2578125,571.427297845459,631.040405273438,25.7385653265953,80.9938278198242
"8784","30498",320533.2125,5614691.8086,320633.2125,5614591.8086,"38","143",20.5146398373792,0,30,1876.80716474486,1943.14819335938,1076.72214209765,1143.87756347656,552.986497874316,610.7470703125,39.1159079629444,87.8635330200195
"8785","30499",320533.2125,5614591.8086,320633.2125,5614491.8086,"39","143",16.3708443351008,0,27.4599914550781,1841.28430107035,1890.81994628906,1022.24243393129,1075.84619140625,580.236285873302,618.158569335938,144.694918135119,187.683242797852
"8786","30500",320533.2125,5614491.8086,320633.2125,5614391.8086,"40","143",10.6974309661865,0,26.0799865722656,1799.29537717285,1862.74658203125,970.18856973877,1037.76928710938,583.337720153809,645.383605957031,162.227140377045,198.398590087891
"8787","30501",320533.2125,5614391.8086,320633.2125,5614291.8086,"41","143",10.2228001301867,0,23.02001953125,1787.16493526853,1829.43298339844,944.923172668995,988.285888671875,619.03292902877,664.243957519531,113.165565384844,168.291412353516
"8788","30504",320533.2125,5614091.8086,320633.2125,5613991.8086,"44","143",16.1730403617716,0.04998779296875,24.3299865722656,1635.01052250914,1670.88305664062,779.089888203351,813.840881347656,379.615861749373,391.203277587891,111.832776527184,144.616729736328
"8789","30505",320533.2125,5613991.8086,320633.2125,5613891.8086,"45","143",17.607091552368,0,25.4300231933594,1597.48672447796,1663.88854980469,733.674011053414,798.098388671875,328.513394655604,387.722839355469,134.693902028183,203.806274414062
"8790","30506",320533.2125,5613891.8086,320633.2125,5613791.8086,"46","143",19.3096839599609,0,27.5999755859375,1554.73015699463,1619.87805175781,643.136835101318,699.97216796875,231.543454190063,290.644104003906,195.475667586517,263.897705078125
